date,home_team,away_team,home_score,away_score,total_runs
2023-03-01,HOU,BOS,4,4,8
2023-03-01,DET,PIT,8,7,15
2023-03-01,BAL,TOR,1,2,3
2023-03-01,MIN,PHI,4,4,8
2023-03-01,ATL,TB,3,3,6
2023-03-01,NYY,WSH,4,2,6
2023-03-01,MIA,NYM,4,8,12
2023-03-01,LAA,MIL,4,3,7
2023-03-01,CIN,ATH,14,14,28
2023-03-01,CHC,SEA,5,3,8
2023-03-01,SF,AZ,5,8,13
2023-03-01,TEX,LAD,2,4,6
2023-03-01,CWS,CLE,6,9,15
2023-03-01,COL,KC,6,8,14
2023-03-01,SD,TEX,5,1,6
2023-03-02,BOS,PHI,15,3,18
2023-03-02,DET,BAL,10,3,13
2023-03-02,STL,HOU,0,6,6
2023-03-02,TB,MIN,2,4,6
2023-03-02,WSH,MIA,5,5,10
2023-03-02,PIT,NYY,1,9,10
2023-03-02,TOR,PIT,2,2,4
2023-03-02,NYM,ATL,2,6,8
2023-03-02,KC,LAA,8,4,12
2023-03-02,LAD,AZ,5,5,10
2023-03-02,CHC,ATH,6,1,7
2023-03-02,CLE,SF,4,3,7
2023-03-02,SEA,SD,5,4,9
2023-03-02,COL,CWS,4,6,10
2023-03-02,MIL,TEX,4,7,11
2023-03-03,MIN,BOS,4,9,13
2023-03-03,PHI,DET,3,6,9
2023-03-03,HOU,ATL,11,8,19
2023-03-03,STL,MIA,8,3,11
2023-03-03,TOR,TB,7,6,13
2023-03-03,NYM,WSH,6,11,17
2023-03-03,ATH,KC,4,6,10
2023-03-03,SF,COL,3,2,5
2023-03-03,TEX,SF,11,7,18
2023-03-03,CWS,CIN,6,4,10
2023-03-03,CLE,MIL,7,4,11
2023-03-03,LAA,LAD,2,2,4
2023-03-03,AZ,SEA,3,6,9
2023-03-03,BAL,PIT,1,1,2
2023-03-03,NYY,DET,3,5,8
2023-03-03,SD,CHC,0,4,4
2023-03-04,BOS,HOU,4,4,8
2023-03-04,WSH,STL,6,9,15
2023-03-04,DET,TOR,5,18,23
2023-03-04,PHI,PIT,4,3,7
2023-03-04,BAL,ATL,2,3,5
2023-03-04,ATL,MIN,7,5,12
2023-03-04,NYY,TB,10,14,24
2023-03-04,MIA,NYM,4,15,19
2023-03-04,CHC,LAA,2,0,2
2023-03-04,CIN,KC,6,12,18
2023-03-04,ATH,CLE,4,4,8
2023-03-04,SF,AZ,5,9,14
2023-03-04,CWS,TEX,5,4,9
2023-03-04,AZ,SD,4,5,9
2023-03-04,SEA,COL,1,7,8
2023-03-04,MIL,SF,14,2,16
2023-03-04,ATH,CIN,9,10,19
2023-03-04,KC,LAD,6,7,13
2023-03-05,HOU,WSH,6,2,8
2023-03-05,STL,NYM,1,7,8
2023-03-05,TB,BAL,2,5,7
2023-03-05,MIN,DET,6,2,8
2023-03-05,PIT,MIN,5,2,7
2023-03-05,BOS,MIA,4,1,5
2023-03-05,ATL,NYY,6,10,16
2023-03-05,TOR,PHI,16,4,20
2023-03-05,CLE,AZ,4,6,10
2023-03-05,SF,KC,1,5,6
2023-03-05,TEX,LAA,7,5,12
2023-03-05,LAD,CWS,8,4,12
2023-03-05,LAA,CIN,8,5,13
2023-03-05,COL,CHC,5,6,11
2023-03-05,SD,ATH,10,3,13
2023-03-05,MIL,SEA,1,6,7
2023-03-05,ATH,CIN,4,12,16
2023-03-06,BOS,DET,7,1,8
2023-03-06,STL,HOU,7,1,8
2023-03-06,BAL,PHI,10,7,17
2023-03-06,TB,MIA,5,1,6
2023-03-06,KC,AZ,10,1,11
2023-03-06,LAD,SD,8,3,11
2023-03-06,LAA,CLE,6,0,6
2023-03-06,SEA,CHC,2,6,8
2023-03-06,COL,TEX,4,1,5
2023-03-06,NYY,PIT,9,2,11
2023-03-06,CIN,COL,6,1,7
2023-03-07,DET,STL,16,3,19
2023-03-07,PIT,TOR,7,2,9
2023-03-07,MIN,BAL,7,6,13
2023-03-07,PHI,TB,3,7,10
2023-03-07,MIA,WSH,3,5,8
2023-03-07,CIN,SF,7,3,10
2023-03-07,TEX,CHC,6,9,15
2023-03-07,CWS,MIL,5,2,7
2023-03-07,AZ,ATH,3,9,12
2023-03-07,SD,LAA,4,5,9
2023-03-07,HOU,NYM,5,5,10
2023-03-07,ATL,BOS,2,10,12
2023-03-08,DET,WSH,2,1,3
2023-03-08,BAL,PIT,7,4,11
2023-03-08,NYY,STL,0,4,4
2023-03-08,TOR,MIN,0,7,7
2023-03-08,LAA,COL,4,3,7
2023-03-08,SD,CIN,9,10,19
2023-03-08,AZ,TEX,2,0,2
2023-03-08,LAD,SEA,2,2,4
2023-03-08,KC,CWS,14,5,19
2023-03-09,PIT,DET,7,10,17
2023-03-09,TB,TOR,6,1,7
2023-03-09,PHI,BAL,7,6,13
2023-03-09,NYY,BOS,7,11,18
2023-03-09,TOR,ATL,3,1,4
2023-03-09,CHC,CIN,8,6,14
2023-03-09,ATH,LAD,1,0,1
2023-03-09,CLE,SD,4,6,10
2023-03-09,SF,MIL,5,2,7
2023-03-10,BOS,TOR,0,2,2
2023-03-10,PHI,PIT,10,4,14
2023-03-10,TB,ATL,2,3,5
2023-03-10,DET,NYY,3,4,7
2023-03-10,NYM,HOU,7,2,9
2023-03-10,LAD,LAA,6,5,11
2023-03-10,KC,SD,1,0,1
2023-03-10,ATH,TEX,12,11,23
2023-03-10,CHC,CWS,3,4,7
2023-03-10,SEA,CIN,11,3,14
2023-03-10,COL,SF,8,1,9
2023-03-10,MIL,CLE,12,3,15
2023-03-10,STL,NYM,7,5,12
2023-03-10,BAL,MIN,5,5,10
2023-03-10,WSH,MIA,2,7,9
2023-03-10,CIN,AZ,6,5,11
2023-03-11,HOU,STL,3,2,5
2023-03-11,MIN,BOS,4,3,7
2023-03-11,ATL,DET,7,16,23
2023-03-11,PIT,NYY,3,0,3
2023-03-11,NYY,PHI,3,6,9
2023-03-11,TOR,BAL,8,6,14
2023-03-11,LAD,CHC,2,5,7
2023-03-11,CLE,ATH,4,2,6
2023-03-11,SF,LAD,8,13,21
2023-03-11,TEX,CIN,8,7,15
2023-03-11,LAA,AZ,11,10,21
2023-03-11,COL,SEA,2,4,6
2023-03-11,SD,CWS,6,5,11
2023-03-11,MIA,TB,5,3,8
2023-03-11,MIL,KC,2,12,14
2023-03-11,WSH,NYM,10,7,17
2023-03-12,BAL,BOS,6,4,10
2023-03-12,STL,WSH,5,1,6
2023-03-12,DET,MIN,8,7,15
2023-03-12,PHI,TOR,3,8,11
2023-03-12,PIT,ATL,3,11,14
2023-03-12,HOU,MIA,5,1,6
2023-03-12,BOS,NYY,3,3,6
2023-03-12,NYM,TB,4,10,14
2023-03-12,KC,CLE,7,6,13
2023-03-12,CIN,LAD,1,8,9
2023-03-12,ATH,SD,8,6,14
2023-03-12,SF,ATH,4,3,7
2023-03-12,CWS,LAA,1,1,2
2023-03-12,CHC,MIL,3,5,8
2023-03-12,AZ,COL,10,9,19
2023-03-12,SEA,TEX,11,10,21
2023-03-13,BAL,DET,11,7,18
2023-03-13,WSH,HOU,7,6,13
2023-03-13,TB,DET,9,5,14
2023-03-13,ATL,BAL,6,5,11
2023-03-13,MIN,NYY,1,0,1
2023-03-13,TOR,BOS,16,3,19
2023-03-13,MIA,NYM,3,9,12
2023-03-13,LAD,CLE,11,4,15
2023-03-13,TEX,AZ,8,11,19
2023-03-13,CIN,MIL,0,8,8
2023-03-13,COL,ATH,7,8,15
2023-03-13,LAA,SEA,8,2,10
2023-03-13,SD,SF,9,11,20
2023-03-14,DET,BOS,6,2,8
2023-03-14,PIT,BAL,6,7,13
2023-03-14,HOU,STL,3,3,6
2023-03-14,MIN,PIT,2,2,4
2023-03-14,TB,MIN,7,4,11
2023-03-14,PHI,ATL,5,15,20
2023-03-14,NYM,WSH,0,5,5
2023-03-14,MIA,HOU,1,0,1
2023-03-14,CLE,LAA,6,8,14
2023-03-14,CWS,ATH,5,4,9
2023-03-14,SEA,KC,8,6,14
2023-03-14,AZ,SF,6,7,13
2023-03-14,NYY,TOR,10,3,13
2023-03-14,CHC,COL,2,5,7
2023-03-14,KC,CIN,3,5,8
2023-03-15,BOS,TB,9,1,10
2023-03-15,ATL,HOU,3,9,12
2023-03-15,NYY,PHI,8,9,17
2023-03-15,TOR,PIT,7,1,8
2023-03-15,NYM,STL,1,4,5
2023-03-15,TEX,KC,4,3,7
2023-03-15,MIA,WSH,0,0,0
2023-03-15,ATH,SEA,0,0,0
2023-03-15,SF,CWS,0,0,0
2023-03-15,AZ,SF,0,0,0
2023-03-15,CIN,CHC,0,0,0
2023-03-15,LAD,COL,0,0,0
2023-03-15,SD,CLE,0,0,0
2023-03-15,AZ,MIL,0,0,0
2023-03-16,STL,HOU,0,3,3
2023-03-16,MIN,TB,0,2,2
2023-03-16,TB,ATL,5,1,6
2023-03-16,CHC,AZ,1,3,4
2023-03-16,KC,ATH,2,0,2
2023-03-16,CLE,CWS,5,1,6
2023-03-16,COL,SD,1,7,8
2023-03-16,SEA,SF,0,0,0
2023-03-16,MIL,LAA,2,3,5
2023-03-16,WSH,NYM,3,0,3
2023-03-16,BAL,TOR,7,4,11
2023-03-16,DET,PHI,1,10,11
2023-03-16,NYY,PIT,6,9,15
2023-03-16,LAD,TEX,1,3,4
2023-03-17,HOU,WSH,7,11,18
2023-03-17,PIT,TB,6,2,8
2023-03-17,MIN,BAL,3,5,8
2023-03-17,PHI,TOR,4,2,6
2023-03-17,BOS,ATL,0,8,8
2023-03-17,DET,NYY,8,7,15
2023-03-17,TOR,PHI,1,8,9
2023-03-17,MIA,STL,2,16,18
2023-03-17,CHC,LAD,7,9,16
2023-03-17,ATH,SF,7,2,9
2023-03-17,CWS,CHC,4,4,8
2023-03-17,TEX,MIL,3,4,7
2023-03-17,COL,AZ,2,4,6
2023-03-17,LAA,KC,12,1,13
2023-03-17,NYM,MIA,6,1,7
2023-03-17,CIN,CLE,7,1,8
2023-03-17,SD,SEA,5,10,15
2023-03-18,BOS,BAL,9,6,15
2023-03-18,STL,DET,8,4,12
2023-03-18,TB,BOS,3,1,4
2023-03-18,PIT,MIN,7,4,11
2023-03-18,WSH,MIA,0,7,7
2023-03-18,TOR,NYY,5,2,7
2023-03-18,KC,COL,3,6,9
2023-03-18,ATH,CIN,1,7,8
2023-03-18,SF,CHC,5,1,6
2023-03-18,CWS,LAD,4,6,10
2023-03-18,AZ,CLE,6,4,10
2023-03-18,COL,KC,5,8,13
2023-03-18,LAA,TEX,2,6,8
2023-03-18,SD,MIL,11,6,17
2023-03-18,ATL,PHI,5,1,6
2023-03-18,HOU,NYM,0,2,2
2023-03-18,CLE,SEA,5,4,9
2023-03-19,WSH,DET,2,1,3
2023-03-19,BAL,PIT,8,0,8
2023-03-19,TB,TOR,1,0,1
2023-03-19,PHI,BOS,5,9,14
2023-03-19,MIN,ATL,0,5,5
2023-03-19,NYY,BAL,3,5,8
2023-03-19,NYM,STL,7,8,15
2023-03-19,MIA,HOU,5,4,9
2023-03-19,CLE,COL,3,1,4
2023-03-19,LAD,ATH,3,6,9
2023-03-19,CHC,SD,5,2,7
2023-03-19,SF,LAA,9,6,15
2023-03-19,TEX,SEA,2,1,3
2023-03-19,AZ,KC,13,2,15
2023-03-19,KC,COL,0,7,7
2023-03-19,SEA,CWS,2,6,8
2023-03-19,MIL,CIN,4,3,7
2023-03-20,BOS,PIT,5,7,12
2023-03-20,DET,TOR,0,5,5
2023-03-20,PHI,BAL,14,6,20
2023-03-20,ATL,TB,6,5,11
2023-03-20,STL,MIA,5,0,5
2023-03-20,CIN,LAA,10,0,10
2023-03-20,TEX,CLE,5,5,10
2023-03-20,CWS,AZ,3,7,10
2023-03-20,SEA,MIL,7,2,9
2023-03-20,WSH,NYM,3,2,5
2023-03-20,COL,LAD,5,1,6
2023-03-21,BAL,BOS,6,2,8
2023-03-21,STL,WSH,4,4,8
2023-03-21,PIT,PHI,4,3,7
2023-03-21,HOU,MIA,2,1,3
2023-03-21,NYY,DET,6,3,9
2023-03-21,CLE,LAD,2,4,6
2023-03-21,LAD,SF,1,12,13
2023-03-21,AZ,LAA,1,7,8
2023-03-21,LAA,ATH,5,6,11
2023-03-21,MIL,CWS,5,6,11
2023-03-21,MIN,TB,5,2,7
2023-03-21,KC,CHC,2,6,8
2023-03-21,SD,COL,14,2,16
2023-03-22,TB,PHI,6,2,8
2023-03-22,DET,ATL,3,5,8
2023-03-22,WSH,NYY,5,2,7
2023-03-22,TOR,BAL,2,1,3
2023-03-22,NYM,HOU,2,5,7
2023-03-22,MIA,STL,0,0,0
2023-03-22,ATH,CHC,2,4,6
2023-03-22,SF,TEX,4,0,4
2023-03-22,CWS,KC,3,4,7
2023-03-22,TEX,CWS,2,0,2
2023-03-22,COL,LAA,9,10,19
2023-03-22,BOS,MIN,0,11,11
2023-03-22,CIN,SD,4,1,5
2023-03-22,SEA,LAD,5,1,6
2023-03-23,PIT,BOS,4,7,11
2023-03-23,MIN,TOR,0,3,3
2023-03-23,PHI,DET,4,1,5
2023-03-23,ATL,NYM,2,2,4
2023-03-23,STL,NYY,1,1,2
2023-03-23,CHC,AZ,11,1,12
2023-03-23,CWS,SF,3,6,9
2023-03-23,AZ,LAD,11,5,16
2023-03-23,SD,KC,6,3,9
2023-03-23,MIL,SD,4,2,6
2023-03-23,BAL,DET,8,8,16
2023-03-23,HOU,WSH,5,4,9
2023-03-23,CIN,SEA,6,17,23
2023-03-23,SF,CLE,0,10,10
2023-03-23,TEX,ATH,7,7,14
2023-03-24,TB,NYM,2,11,13
2023-03-24,NYY,MIN,4,6,10
2023-03-24,KC,SF,3,0,3
2023-03-24,CHC,TEX,5,3,8
2023-03-24,ATH,CWS,0,12,12
2023-03-24,LAD,MIL,6,6,12
2023-03-24,AZ,CIN,4,7,11
2023-03-24,LAA,SD,0,3,3
2023-03-24,MIL,COL,4,9,13
2023-03-24,DET,PIT,6,6,12
2023-03-24,WSH,STL,1,7,8
2023-03-24,BOS,ATL,9,8,17
2023-03-24,BAL,NYY,7,6,13
2023-03-24,TOR,PHI,6,3,9
2023-03-24,MIA,HOU,3,2,5
2023-03-24,CLE,CHC,5,3,8
2023-03-24,SEA,ATH,15,3,18
2023-03-25,TB,BOS,4,2,6
2023-03-25,MIN,ATL,4,9,13
2023-03-25,ATL,MIN,9,4,13
2023-03-25,STL,MIA,3,2,5
2023-03-25,PHI,NYY,3,8,11
2023-03-25,LAD,KC,3,6,9
2023-03-25,TEX,SD,3,5,8
2023-03-25,ATH,MIL,5,6,11
2023-03-25,LAA,CHC,8,7,15
2023-03-25,SF,SEA,7,4,11
2023-03-25,SEA,AZ,1,4,5
2023-03-25,WSH,HOU,1,6,7
2023-03-25,PIT,BAL,4,6,10
2023-03-25,TOR,DET,1,4,5
2023-03-25,NYM,STL,4,4,8
2023-03-25,CIN,CWS,2,9,11
2023-03-25,COL,CLE,2,4,6
2023-03-26,HOU,STL,24,1,25
2023-03-26,DET,TB,11,10,21
2023-03-26,BOS,MIN,2,7,9
2023-03-26,BAL,PHI,4,2,6
2023-03-26,ATL,PIT,8,1,9
2023-03-26,NYY,TOR,6,2,8
2023-03-26,MIA,WSH,2,2,4
2023-03-26,CLE,CIN,3,2,5
2023-03-26,CHC,KC,5,0,5
2023-03-26,CWS,COL,2,4,6
2023-03-26,ATH,SF,5,9,14
2023-03-26,COL,CIN,5,7,12
2023-03-26,SD,SEA,5,5,10
2023-03-26,NYM,MIA,3,3,6
2023-03-26,MIL,AZ,4,4,8
2023-03-26,LAD,LAA,3,0,3
2023-03-27,BAL,STL,2,8,10
2023-03-27,MIN,PIT,8,4,12
2023-03-27,ATL,BOS,6,1,7
2023-03-27,NYY,TB,8,4,12
2023-03-27,TOR,PHI,2,5,7
2023-03-27,SEA,SD,2,4,6
2023-03-27,CHC,CWS,6,6,12
2023-03-27,MIL,COL,8,12,20
2023-03-27,TEX,KC,4,4,8
2023-03-27,LAA,LAD,5,4,9
2023-03-27,AZ,CLE,7,6,13
2023-03-27,SF,ATH,6,12,18
2023-03-28,PHI,TOR,6,5,11
2023-03-28,WSH,NYY,3,0,3
2023-03-28,PIT,MIN,5,7,12
2023-03-28,BOS,ATL,5,7,12
2023-03-28,TEX,KC,5,3,8
