date,home_team,away_team,home_score,away_score,total_runs
2021-03-01,WSH,HOU,6,7,13
2021-03-01,TB,MIN,5,6,11
2021-03-01,PHI,BAL,4,4,8
2021-03-01,BOS,ATL,3,5,8
2021-03-01,MIA,NYM,2,0,2
2021-03-01,NYY,DET,5,4,9
2021-03-01,TOR,PIT,2,2,4
2021-03-01,CLE,KC,6,8,14
2021-03-01,LAD,COL,10,0,10
2021-03-01,ATH,CIN,13,5,18
2021-03-01,TEX,SF,1,1,2
2021-03-01,SD,CHC,0,1,1
2021-03-01,LAA,CWS,4,4,8
2021-03-01,AZ,MIL,1,7,8
2021-03-02,PIT,DET,1,6,7
2021-03-02,BOS,TB,9,3,12
2021-03-02,ATL,MIN,6,0,6
2021-03-02,MIA,STL,0,0,0
2021-03-02,BAL,NYY,2,4,6
2021-03-02,TOR,PHI,4,2,6
2021-03-02,NYM,HOU,2,0,2
2021-03-02,CHC,KC,3,2,5
2021-03-02,CWS,TEX,5,5,10
2021-03-02,AZ,SD,2,7,9
2021-03-02,SEA,CLE,1,6,7
2021-03-02,MIL,ATH,1,2,3
2021-03-02,CIN,LAA,7,5,12
2021-03-02,SF,LAD,1,1,2
2021-03-03,STL,NYM,14,9,23
2021-03-03,TB,PIT,3,1,4
2021-03-03,MIN,BOS,6,14,20
2021-03-03,DET,PHI,2,4,6
2021-03-03,ATL,BAL,1,8,9
2021-03-03,WSH,MIA,5,8,13
2021-03-03,CLE,AZ,4,9,13
2021-03-03,CHC,SEA,8,8,16
2021-03-03,KC,CWS,6,5,11
2021-03-03,COL,ATH,10,7,17
2021-03-03,LAA,TEX,6,2,8
2021-03-03,SD,MIL,5,8,13
2021-03-03,NYY,TOR,4,1,5
2021-03-03,LAD,CIN,4,4,8
2021-03-04,BAL,BOS,6,3,9
2021-03-04,DET,TOR,8,2,10
2021-03-04,MIN,TB,2,5,7
2021-03-04,PIT,ATL,6,1,7
2021-03-04,PHI,NYY,15,0,15
2021-03-04,NYM,WSH,8,4,12
2021-03-04,TEX,SD,5,3,8
2021-03-04,SF,CWS,3,1,4
2021-03-04,AZ,LAA,9,2,11
2021-03-04,SEA,COL,9,9,18
2021-03-04,MIL,CLE,1,5,6
2021-03-04,HOU,STL,14,0,14
2021-03-04,CIN,KC,3,5,8
2021-03-04,LAD,CHC,0,7,7
2021-03-05,BOS,TB,6,5,11
2021-03-05,PHI,PIT,3,0,3
