date,home_team,away_team,home_score,away_score,total_runs
2018-03-01,HOU,BOS,10,5,15
2018-03-01,TB,BAL,2,5,7
2018-03-01,PIT,TOR,4,1,5
2018-03-01,STL,MIN,3,3,6
2018-03-01,DET,ATL,2,5,7
2018-03-01,ATL,WSH,2,6,8
2018-03-01,PHI,NYY,4,6,10
2018-03-01,NYM,MIA,2,3,5
2018-03-01,CHC,COL,2,2,4
2018-03-01,LAD,CLE,7,8,15
2018-03-01,SF,LAA,4,11,15
2018-03-01,ATH,TEX,4,9,13
2018-03-01,TEX,SD,9,9,18
2018-03-01,CIN,CWS,8,7,15
2018-03-01,SEA,KC,3,4,7
2018-03-01,AZ,MIL,1,6,7
2018-03-02,BAL,PIT,10,8,18
2018-03-02,STL,BOS,6,9,15
2018-03-02,MIN,TOR,2,1,3
2018-03-02,TB,PHI,2,9,11
2018-03-02,DET,MIA,8,3,11
2018-03-02,NYY,ATL,5,4,9
2018-03-02,NYM,WSH,1,2,3
2018-03-02,SF,CIN,2,3,5
2018-03-02,CLE,TEX,9,4,13
2018-03-02,CWS,LAD,6,7,13
2018-03-02,MIL,SEA,2,4,6
2018-03-02,LAA,CHC,4,6,10
2018-03-02,COL,AZ,15,6,21
2018-03-02,SD,KC,13,5,18
2018-03-02,HOU,NYM,7,7,14
2018-03-03,HOU,WSH,1,8,9
2018-03-03,DET,TB,4,7,11
2018-03-03,PHI,BAL,2,4,6
2018-03-03,PIT,PHI,4,3,7
2018-03-03,ATL,STL,9,2,11
2018-03-03,MIA,NYM,1,0,1
2018-03-03,BOS,NYY,3,5,8
2018-03-03,TOR,MIN,13,8,21
2018-03-03,CHC,CIN,7,4,11
2018-03-03,LAD,AZ,14,6,20
2018-03-03,ATH,SD,4,10,14
2018-03-03,CLE,SF,4,13,17
2018-03-03,SF,TEX,9,4,13
2018-03-03,KC,CWS,5,9,14
2018-03-03,COL,MIL,5,6,11
2018-03-03,SEA,LAA,4,2,6
2018-03-04,BAL,BOS,10,8,18
2018-03-04,WSH,DET,6,2,8
2018-03-04,STL,HOU,1,4,5
2018-03-04,MIN,PIT,3,9,12
2018-03-04,PHI,TOR,4,2,6
2018-03-04,ATL,MIA,5,2,7
2018-03-04,NYY,TB,1,9,10
2018-03-04,NYM,WSH,3,7,10
2018-03-04,CIN,KC,3,10,13
2018-03-04,SF,LAD,3,9,12
2018-03-04,TEX,SEA,7,10,17
2018-03-04,CWS,SD,6,7,13
2018-03-04,MIL,CLE,2,6,8
2018-03-04,AZ,CHC,2,0,2
2018-03-04,LAA,COL,7,6,13
2018-03-04,SD,ATH,4,12,16
2018-03-05,STL,WSH,2,1,3
2018-03-05,PHI,MIN,4,3,7
2018-03-05,ATL,PIT,7,5,12
2018-03-05,HOU,MIA,5,3,8
2018-03-05,NYM,DET,4,2,6
2018-03-05,CIN,LAA,5,7,12
2018-03-05,LAD,CLE,8,1,9
2018-03-05,TEX,SF,5,4,9
2018-03-05,ATH,CWS,9,9,18
2018-03-05,COL,CHC,4,5,9
2018-03-05,SD,AZ,3,10,13
2018-03-06,WSH,HOU,5,10,15
2018-03-06,TB,BOS,1,9,10
2018-03-06,MIN,BAL,9,8,17
2018-03-06,MIA,STL,4,4,8
2018-03-06,DET,NYY,2,7,9
2018-03-06,TOR,ATL,1,5,6
2018-03-06,NYM,HOU,9,5,14
2018-03-06,CIN,CLE,7,6,13
2018-03-06,CHC,LAD,9,5,14
2018-03-06,ATH,TEX,5,3,8
2018-03-06,CWS,MIL,6,4,10
2018-03-06,AZ,LAA,5,4,9
2018-03-06,KC,SD,4,5,9
2018-03-06,SEA,COL,2,3,5
2018-03-07,STL,WSH,4,3,7
2018-03-07,TB,BAL,2,7,9
2018-03-07,DET,TOR,5,6,11
2018-03-07,BOS,MIN,1,8,9
2018-03-07,PHI,BOS,2,1,3
2018-03-07,HOU,MIA,6,7,13
2018-03-07,TOR,PIT,13,4,17
2018-03-07,NYM,NYY,4,11,15
2018-03-07,SF,SD,4,4,8
2018-03-07,CWS,CIN,14,12,26
2018-03-07,KC,MIL,6,10,16
2018-03-07,LAA,LAD,2,4,6
2018-03-07,COL,TEX,5,4,9
2018-03-07,CLE,CHC,6,11,17
2018-03-07,SEA,ATH,3,7,10
2018-03-08,WSH,NYM,8,5,13
2018-03-08,PIT,DET,8,3,11
2018-03-08,BOS,TB,6,6,12
2018-03-08,BAL,TOR,3,9,12
2018-03-08,ATL,HOU,4,6,10
2018-03-08,STL,MIA,5,4,9
2018-03-08,NYY,PHI,6,7,13
2018-03-08,ATH,LAA,7,3,10
2018-03-08,CHC,SD,10,4,14
2018-03-08,CWS,KC,0,12,12
2018-03-08,TEX,CWS,5,4,9
2018-03-08,MIL,AZ,6,11,17
2018-03-08,COL,CIN,3,2,5
2018-03-08,CLE,LAD,4,1,5
2018-03-08,SEA,SF,0,4,4
2018-03-09,DET,NYM,4,4,8
2018-03-09,TB,MIN,3,4,7
2018-03-09,PHI,PIT,4,5,9
2018-03-09,MIA,BOS,5,4,9
2018-03-09,TOR,BAL,8,5,13
2018-03-09,CHC,LAA,6,1,7
2018-03-09,KC,AZ,2,7,9
2018-03-09,LAD,KC,6,4,10
2018-03-09,SF,SEA,10,7,17
2018-03-09,MIL,ATH,0,2,2
2018-03-09,COL,CLE,5,8,13
2018-03-09,SD,CWS,2,0,2
2018-03-09,HOU,STL,4,2,6
2018-03-09,ATL,NYY,3,1,4
2018-03-09,CIN,TEX,6,3,9
2018-03-10,HOU,WSH,2,2,4
2018-03-10,BAL,PIT,13,5,18
2018-03-10,PHI,TB,3,5,8
2018-03-10,PIT,ATL,1,15,16
2018-03-10,STL,MIA,3,7,10
2018-03-10,NYY,NYM,10,3,13
2018-03-10,TOR,DET,6,3,9
2018-03-10,SF,LAA,11,7,18
2018-03-10,TEX,ATH,8,2,10
2018-03-10,CHC,CWS,4,4,8
2018-03-10,MIL,COL,9,2,11
2018-03-10,AZ,KC,10,3,13
2018-03-10,SD,CLE,8,8,16
2018-03-10,LAA,SF,8,9,17
2018-03-10,CIN,SEA,2,5,7
2018-03-10,LAD,CHC,6,5,11
2018-03-10,MIN,BOS,0,0,0
2018-03-11,BOS,BAL,3,7,10
2018-03-11,WSH,STL,3,4,7
2018-03-11,TB,MIN,5,6,11
2018-03-11,DET,ATL,6,3,9
2018-03-11,MIA,NYY,7,5,12
2018-03-11,TOR,PIT,0,5,5
2018-03-11,NYM,HOU,2,5,7
2018-03-11,KC,CLE,1,3,4
2018-03-11,ATH,CHC,7,2,9
2018-03-11,CWS,AZ,6,5,11
2018-03-11,CLE,MIL,4,5,9
2018-03-11,COL,LAD,7,13,20
2018-03-11,SEA,CIN,5,6,11
2018-03-11,LAA,TEX,4,3,7
2018-03-11,SF,SD,5,4,9
2018-03-11,BAL,PHI,4,0,4
2018-03-12,DET,WSH,4,5,9
2018-03-12,PIT,BAL,5,8,13
2018-03-12,TOR,BOS,4,6,10
2018-03-12,KC,SD,4,0,4
2018-03-12,ATH,SF,5,6,11
2018-03-12,CLE,TEX,4,2,6
2018-03-12,LAD,MIL,6,7,13
2018-03-12,LAA,CIN,4,3,7
2018-03-12,AZ,COL,2,4,6
2018-03-12,ATL,PHI,0,3,3
2018-03-12,NYY,MIN,1,2,3
2018-03-12,KC,TEX,1,5,6
2018-03-12,SEA,CWS,2,4,6
2018-03-13,MIN,BAL,5,7,12
2018-03-13,PHI,TB,6,3,9
2018-03-13,ATL,TOR,6,13,19
2018-03-13,MIA,STL,4,11,15
2018-03-13,NYY,DET,2,2,4
2018-03-13,NYM,HOU,1,6,7
2018-03-13,KC,ATH,8,9,17
2018-03-13,MIL,TEX,4,3,7
2018-03-13,SD,CHC,7,5,12
2018-03-13,COL,SEA,8,7,15
2018-03-13,WSH,NYM,7,4,11
2018-03-13,CHC,SF,2,1,3
2018-03-14,HOU,STL,1,3,4
2018-03-14,PIT,TB,3,9,12
2018-03-14,MIN,BOS,1,2,3
2018-03-14,ATL,PHI,5,3,8
2018-03-14,MIA,NYM,5,1,6
2018-03-14,BAL,NYY,7,4,11
2018-03-14,CLE,LAA,7,0,7
2018-03-14,KC,CHC,7,6,13
2018-03-14,MIL,CWS,11,3,14
2018-03-14,AZ,CIN,7,3,10
2018-03-14,SEA,SF,5,4,9
2018-03-14,LAD,COL,11,6,17
2018-03-15,WSH,HOU,3,12,15
2018-03-15,STL,BAL,0,1,1
2018-03-15,BOS,TOR,7,5,12
2018-03-15,TB,MIN,1,8,9
2018-03-15,ATL,DET,8,1,9
2018-03-15,NYY,PIT,9,5,14
2018-03-15,NYM,MIA,6,7,13
2018-03-15,CHC,AZ,2,3,5
2018-03-15,CLE,CIN,6,10,16
2018-03-15,LAD,KC,8,14,22
2018-03-15,TEX,MIL,6,5,11
2018-03-15,COL,LAA,8,10,18
2018-03-15,LAA,CWS,2,7,9
2018-03-15,SD,SF,9,7,16
2018-03-15,ATH,SEA,2,6,8
2018-03-16,WSH,STL,4,2,6
2018-03-16,MIN,TB,1,11,12
2018-03-16,DET,PHI,6,6,12
2018-03-16,PHI,TOR,4,6,10
2018-03-16,PIT,ATL,12,9,21
2018-03-16,STL,MIA,4,2,6
2018-03-16,NYM,BAL,4,4,8
2018-03-16,ATH,CLE,7,3,10
2018-03-16,TEX,SEA,7,9,16
2018-03-16,CWS,CHC,3,6,9
2018-03-16,CIN,MIL,14,16,30
2018-03-16,LAA,COL,6,18,24
2018-03-16,AZ,LAD,4,1,5
2018-03-16,SD,KC,4,12,16
2018-03-16,BOS,MIN,4,2,6
2018-03-16,NYY,HOU,0,2,2
2018-03-17,WSH,NYM,7,9,16
2018-03-17,BOS,TB,4,3,7
2018-03-17,BAL,TOR,2,5,7
2018-03-17,PIT,MIN,13,5,18
2018-03-17,ATL,STL,0,3,3
2018-03-17,PHI,ATL,10,6,16
2018-03-17,MIA,HOU,6,6,12
2018-03-17,DET,NYY,9,3,12
2018-03-17,KC,TEX,7,6,13
2018-03-17,CHC,CLE,1,5,6
2018-03-17,ATH,SEA,1,4,5
2018-03-17,CIN,SF,5,4,9
2018-03-17,CWS,LAD,5,2,7
2018-03-17,MIL,COL,4,3,7
2018-03-17,AZ,SD,3,3,6
2018-03-17,SEA,LAA,7,0,7
2018-03-17,CHC,CLE,11,4,15
2018-03-17,SF,ATH,3,8,11
2018-03-17,TEX,KC,5,5,10
2018-03-18,BAL,NYM,4,5,9
2018-03-18,PIT,BOS,1,2,3
2018-03-18,STL,WSH,10,0,10
2018-03-18,TB,DET,10,5,15
2018-03-18,MIN,PHI,4,3,7
2018-03-18,HOU,ATL,3,6,9
2018-03-18,NYY,MIA,8,5,13
2018-03-18,TOR,PIT,5,2,7
2018-03-18,CIN,AZ,6,3,9
2018-03-18,CHC,CLE,4,11,15
2018-03-18,CHC,KC,9,11,20
2018-03-18,LAD,SD,1,2,3
2018-03-18,TEX,LAA,2,4,6
2018-03-18,ATH,CWS,14,0,14
2018-03-18,MIL,LAD,7,3,10
2018-03-18,SEA,CLE,3,16,19
2018-03-18,COL,SF,0,13,13
2018-03-19,DET,BAL,2,4,6
2018-03-19,HOU,NYM,2,0,2
2018-03-19,PIT,MIN,11,8,19
2018-03-19,BOS,PHI,6,5,11
2018-03-19,ATL,TOR,6,0,6
2018-03-19,MIA,WSH,9,1,10
2018-03-19,SF,CLE,4,5,9
2018-03-19,AZ,CWS,2,15,17
2018-03-19,NYY,TB,2,4,6
2018-03-19,CIN,CHC,4,5,9
2018-03-19,TEX,COL,1,5,6
2018-03-19,LAA,SEA,8,4,12
2018-03-19,LAD,ATH,3,1,4
2018-03-20,BOS,PIT,12,6,18
2018-03-20,STL,NYM,7,8,15
2018-03-20,PHI,TOR,2,0,2
2018-03-20,WSH,MIA,8,3,11
2018-03-20,DET,NYY,8,3,11
2018-03-20,ATH,LAD,2,8,10
2018-03-20,CWS,TEX,10,0,10
2018-03-20,LAA,AZ,6,5,11
2018-03-20,COL,MIL,4,4,8
2018-03-20,KC,SF,10,1,11
2018-03-20,SD,CIN,3,3,6
2018-03-20,BAL,TB,0,0,0
2018-03-21,WSH,HOU,3,8,11
2018-03-21,TB,BOS,3,8,11
2018-03-21,MIA,STL,6,13,19
2018-03-21,TOR,PHI,7,7,14
2018-03-21,TEX,CHC,1,5,6
