date,home_team,away_team,home_score,away_score,total_runs
2024-03-01,WSH,HOU,8,10,18
2024-03-01,STL,NYM,3,2,5
2024-03-01,PIT,TB,12,8,20
2024-03-01,MIN,BOS,5,3,8
2024-03-01,DET,PHI,4,2,6
2024-03-01,ATL,BAL,1,3,4
2024-03-01,PHI,MIA,6,6,12
2024-03-01,KC,ATH,5,4,9
2024-03-01,SF,TEX,11,5,16
2024-03-01,CHC,CWS,10,6,16
2024-03-01,SD,LAA,3,5,8
2024-03-01,COL,SEA,10,9,19
2024-03-01,MIL,SD,4,3,7
2024-03-01,NYY,TOR,8,4,12
2024-03-01,CIN,AZ,8,12,20
2024-03-01,LAD,CLE,6,4,10
2024-03-02,BOS,WSH,4,2,6
2024-03-02,DET,PIT,3,7,10
2024-03-02,HOU,STL,7,1,8
2024-03-02,TB,BOS,2,3,5
2024-03-02,PHI,MIN,3,2,5
2024-03-02,BAL,NYY,7,3,10
2024-03-02,TOR,ATL,2,6,8
2024-03-02,MIA,NYM,4,1,5
2024-03-02,CLE,KC,12,13,25
2024-03-02,LAD,CHC,8,5,13
2024-03-02,SF,SD,2,3,5
2024-03-02,TEX,CWS,14,3,17
2024-03-02,LAA,AZ,4,1,5
2024-03-02,COL,CIN,10,4,14
2024-03-02,SEA,ATH,8,12,20
2024-03-02,MIL,LAD,3,11,14
2024-03-03,PIT,BAL,2,5,7
2024-03-03,BOS,TOR,3,1,4
2024-03-03,MIN,TB,4,4,8
2024-03-03,ATL,PHI,3,2,5
2024-03-03,NYY,DET,2,7,9
2024-03-03,NYM,HOU,2,5,7
2024-03-03,CHC,CLE,5,3,8
2024-03-03,KC,CIN,7,3,10
2024-03-03,LAD,COL,7,4,11
2024-03-03,CLE,SF,5,6,11
2024-03-03,ATH,TEX,5,2,7
2024-03-03,SD,SEA,12,4,16
2024-03-03,LAA,CWS,3,1,4
2024-03-03,AZ,MIL,4,10,14
2024-03-03,WSH,MIA,0,0,0
2024-03-03,STL,MIA,0,0,0
2024-03-04,DET,BOS,2,1,3
2024-03-04,WSH,STL,1,0,1
2024-03-04,TB,PIT,3,7,10
2024-03-04,BAL,MIN,2,7,9
2024-03-04,MIN,ATL,4,3,7
2024-03-04,TOR,PHI,5,2,7
2024-03-04,CIN,ATH,15,8,23
2024-03-04,TEX,LAA,2,3,5
2024-03-04,CWS,AZ,5,2,7
2024-03-04,SD,CHC,2,1,3
2024-03-04,COL,SF,12,10,22
2024-03-04,MIA,NYY,2,3,5
2024-03-05,BOS,TB,7,4,11
2024-03-05,PIT,TOR,6,5,11
2024-03-05,STL,MIN,5,4,9
2024-03-05,PHI,BAL,2,3,5
2024-03-05,ATL,DET,3,0,3
2024-03-05,HOU,MIA,0,2,2
2024-03-05,NYM,NYY,5,4,9
2024-03-05,CLE,SEA,4,1,5
2024-03-05,SF,MIL,13,8,21
2024-03-05,AZ,SD,5,3,8
2024-03-05,SEA,TEX,9,10,19
2024-03-05,KC,CHC,4,0,4
2024-03-05,LAD,LAA,0,4,4
2024-03-06,MIN,BOS,7,1,8
2024-03-06,NYY,TB,3,4,7
2024-03-06,MIA,WSH,3,9,12
2024-03-06,CHC,LAA,6,5,11
2024-03-06,KC,SEA,7,8,15
2024-03-06,CWS,LAD,9,12,21
2024-03-06,CIN,MIL,0,2,2
2024-03-06,LAA,ATH,5,12,17
2024-03-06,SD,CIN,2,6,8
2024-03-06,COL,TEX,6,6,12
2024-03-06,MIL,CLE,3,3,6
2024-03-06,BAL,PIT,6,4,10
2024-03-06,HOU,NYM,0,0,0
2024-03-07,STL,HOU,3,6,9
2024-03-07,TB,PHI,3,2,5
2024-03-07,BOS,ATL,2,3,5
2024-03-07,TEX,AZ,7,5,12
2024-03-07,CWS,MIL,2,8,10
2024-03-07,SEA,LAA,5,0,5
2024-03-07,DET,TOR,4,5,9
2024-03-07,NYM,WSH,3,1,4
2024-03-07,NYY,DET,5,11,16
2024-03-07,CIN,CHC,2,2,4
2024-03-07,ATH,CLE,0,0,0
2024-03-07,COL,KC,0,0,0
2024-03-07,SF,LAD,0,0,0
2024-03-08,PIT,MIN,6,3,9
2024-03-08,PHI,HOU,6,3,9
2024-03-08,ATL,PIT,6,6,12
2024-03-08,TOR,NYY,2,1,3
2024-03-08,CHC,SEA,9,5,14
2024-03-08,TEX,KC,2,4,6
2024-03-08,CLE,CWS,2,1,3
2024-03-08,AZ,CHC,7,5,12
2024-03-08,LAA,COL,8,7,15
2024-03-08,MIL,ATH,7,4,11
2024-03-08,BAL,DET,4,3,7
2024-03-08,WSH,STL,6,7,13
2024-03-08,MIA,NYM,1,3,4
2024-03-08,ATH,MIL,4,5,9
2024-03-08,LAD,CIN,0,0,0
2024-03-08,SD,SF,0,0,0
2024-03-09,HOU,WSH,9,4,13
2024-03-09,DET,PIT,8,5,13
2024-03-09,STL,NYM,3,9,12
2024-03-09,PHI,TOR,5,13,18
