date,home_team,away_team,home_score,away_score,total_runs
2025-03-01,BAL,PIT,2,5,7
2025-03-01,STL,WSH,3,2,5
2025-03-01,TB,NYM,1,10,11
2025-03-01,BOS,MIN,8,4,12
2025-03-01,DET,PHI,1,0,1
2025-03-01,ATL,TOR,1,1,2
2025-03-01,NYY,HOU,9,3,12
2025-03-01,CHC,CLE,7,4,11
2025-03-01,CIN,SD,7,3,10
2025-03-01,LAD,SF,6,5,11
2025-03-01,AZ,COL,8,4,12
2025-03-01,LAA,ATH,5,0,5
2025-03-01,SEA,CWS,9,18,27
2025-03-01,MIL,TEX,9,4,13
2025-03-01,WSH,MIA,7,0,7
2025-03-01,KC,CHC,1,11,12
2025-03-02,HOU,WSH,3,4,7
2025-03-02,BOS,NYM,6,4,10
2025-03-02,PIT,DET,4,10,14
2025-03-02,MIN,TB,5,5,10
2025-03-02,PHI,BAL,5,4,9
2025-03-02,ATL,NYY,11,1,12
2025-03-02,TOR,PHI,5,4,9
2025-03-02,MIA,STL,5,3,8
2025-03-02,CHC,CIN,3,7,10
2025-03-02,ATH,LAD,4,8,12
2025-03-02,SF,LAA,9,5,14
2025-03-02,TEX,AZ,6,3,9
2025-03-02,LAD,CWS,6,3,9
2025-03-02,CLE,MIL,12,12,24
2025-03-02,SD,KC,4,10,14
2025-03-02,COL,SEA,6,1,7
2025-03-03,BAL,BOS,6,6,12
2025-03-03,DET,TOR,3,13,16
2025-03-03,TB,ATL,5,4,9
2025-03-03,MIA,HOU,3,5,8
2025-03-03,KC,TEX,6,3,9
2025-03-03,CWS,ATH,4,5,9
2025-03-03,AZ,CHC,10,2,12
2025-03-03,LAA,COL,4,8,12
2025-03-03,SEA,CLE,7,2,9
2025-03-03,NYM,MIA,1,1,2
2025-03-03,NYY,PIT,12,3,15
2025-03-03,CIN,MIL,5,4,9
2025-03-04,PIT,BOS,4,12,16
2025-03-04,WSH,STL,4,6,10
2025-03-04,STL,NYM,6,1,7
2025-03-04,TB,DET,4,1,5
2025-03-04,ATL,MIN,0,0,0
2025-03-04,PHI,NYY,3,12,15
2025-03-04,CLE,LAA,8,1,9
2025-03-04,CHC,SD,16,1,17
2025-03-04,TEX,ATH,3,6,9
2025-03-04,COL,CIN,9,5,14
2025-03-04,SD,SF,1,1,2
2025-03-04,LAD,CIN,4,2,6
2025-03-05,HOU,STL,6,5,11
2025-03-05,BOS,TB,4,2,6
2025-03-05,PIT,TOR,7,6,13
2025-03-05,MIN,BAL,2,5,7
2025-03-05,DET,PHI,17,7,24
2025-03-05,MIA,WSH,7,8,15
2025-03-05,CIN,TEX,3,5,8
2025-03-05,CWS,MIL,2,3,5
2025-03-05,LAA,LAD,3,5,8
2025-03-05,SD,COL,3,4,7
2025-03-05,AZ,SF,5,11,16
2025-03-05,MIL,CWS,2,8,10
2025-03-05,KC,SEA,9,6,15
2025-03-06,STL,WSH,1,12,13
2025-03-06,PHI,TB,4,5,9
2025-03-06,NYY,MIN,4,8,12
2025-03-06,TOR,BOS,7,4,11
2025-03-06,LAD,TEX,8,4,12
2025-03-06,TEX,SD,8,2,10
2025-03-06,SF,CWS,7,3,10
2025-03-06,BAL,PIT,5,9,14
2025-03-06,ATL,MIA,1,1,2
2025-03-06,NYM,HOU,1,5,6
