date,home_team,away_team,home_score,away_score,total_runs
2019-03-01,DET,NYM,1,7,8
2019-03-01,BAL,TB,5,10,15
2019-03-01,MIN,BOS,4,3,7
2019-03-01,PHI,PIT,7,3,10
2019-03-01,ATL,TOR,4,3,7
2019-03-01,MIA,WSH,4,5,9
2019-03-01,TOR,PIT,1,1,2
2019-03-01,ATH,COL,6,3,9
2019-03-01,TEX,CWS,5,8,13
2019-03-01,AZ,CHC,2,10,12
2019-03-01,LAA,KC,10,7,17
2019-03-01,SEA,MIL,7,3,10
2019-03-01,HOU,STL,4,4,8
2019-03-01,NYY,BAL,2,2,4
2019-03-01,CLE,LAD,8,4,12
2019-03-01,LAD,SD,4,5,9
2019-03-01,SF,CIN,5,3,8
2019-03-02,BOS,BAL,1,9,10
2019-03-02,WSH,MIN,10,6,16
2019-03-02,TB,PHI,3,11,14
2019-03-02,DET,ATL,7,4,11
2019-03-02,STL,MIA,4,3,7
2019-03-02,PIT,NYY,8,7,15
2019-03-02,TOR,TB,5,6,11
2019-03-02,NYM,HOU,7,8,15
2019-03-02,CIN,LAA,2,11,13
2019-03-02,ATH,CLE,1,0,1
2019-03-02,KC,SEA,8,0,8
2019-03-02,SF,TEX,0,0,0
2019-03-02,CWS,COL,10,6,16
2019-03-02,CHC,MIL,4,7,11
2019-03-02,AZ,LAD,6,5,11
2019-03-02,SD,SF,7,6,13
2019-03-03,WSH,HOU,4,2,6
2019-03-03,STL,NYM,8,10,18
2019-03-03,PIT,TB,4,10,14
2019-03-03,BOS,MIN,9,7,16
2019-03-03,MIN,PHI,3,3,6
2019-03-03,ATL,MIA,6,5,11
2019-03-03,NYY,DET,7,1,8
2019-03-03,TOR,NYY,5,2,7
2019-03-03,BAL,DET,7,5,12
2019-03-03,CLE,KC,7,13,20
2019-03-03,LAD,TEX,6,3,9
2019-03-03,TEX,SD,11,3,14
2019-03-03,CHC,CWS,13,4,17
2019-03-03,MIL,CIN,5,11,16
2019-03-03,LAA,ATH,4,1,5
2019-03-03,SEA,AZ,7,3,10
2019-03-03,COL,SF,9,3,12
2019-03-04,HOU,NYM,4,7,11
2019-03-04,DET,STL,9,5,14
2019-03-04,MIN,BAL,4,9,13
2019-03-04,ATL,HOU,3,4,7
2019-03-04,MIA,WSH,9,8,17
2019-03-04,NYM,BOS,3,9,12
2019-03-04,CIN,CHC,1,9,10
2019-03-04,SF,LAD,2,8,10
2019-03-04,TEX,COL,4,4,8
2019-03-04,CWS,LAA,6,6,12
2019-03-04,AZ,CIN,3,3,6
2019-03-04,SD,CLE,8,0,8
2019-03-05,WSH,BOS,4,8,12
