date,home_team,away_team,home_score,away_score,total_runs
2020-07-18,WSH,PHI,2,7,9
2020-07-18,PIT,CLE,3,5,8
2020-07-18,NYM,NYY,3,9,12
2020-07-19,PHI,BAL,1,4,5
2020-07-19,NYY,NYM,6,0,6
2020-07-19,CHC,CWS,3,7,10
2020-07-19,LAD,AZ,9,2,11
2020-07-20,BAL,WSH,2,4,6
2020-07-20,NYY,PHI,2,2,4
2020-07-20,CLE,PIT,11,7,18
2020-07-20,KC,HOU,3,6,9
2020-07-20,CWS,CHC,5,3,8
2020-07-20,SD,LAA,0,1,1
2020-07-20,LAD,AZ,12,1,13
2020-07-20,ATH,SF,2,6,8
2020-07-21,KC,HOU,6,15,21
2020-07-21,WSH,BAL,6,4,10
2020-07-21,CIN,DET,9,7,16
2020-07-21,ATL,MIA,10,9,19
2020-07-21,BOS,TOR,6,8,14
2020-07-21,TEX,COL,1,5,6
2020-07-21,LAD,LAA,6,4,10
2020-07-21,SF,ATH,4,2,6
2020-07-22,ATL,MIA,2,6,8
2020-07-22,STL,KC,6,3,9
2020-07-22,PIT,CLE,3,5,8
2020-07-22,CIN,DET,2,1,3
2020-07-22,CHC,MIN,4,3,7
2020-07-22,TEX,COL,3,7,10
2020-07-22,CWS,MIL,3,5,8
2020-07-22,LAA,SD,4,5,9
2020-07-22,BOS,TOR,0,0,0
2020-07-23,WSH,NYY,1,4,5
2020-07-23,LAD,SF,8,1,9
2020-07-24,NYM,ATL,1,0,1
2020-07-24,CIN,DET,7,1,8
2020-07-24,TB,TOR,4,6,10
2020-07-24,PHI,MIA,2,5,7
2020-07-24,CLE,KC,2,0,2
2020-07-24,CHC,MIL,3,0,3
2020-07-24,BOS,BAL,13,2,15
2020-07-24,TEX,COL,1,0,1
2020-07-24,CWS,MIN,5,10,15
2020-07-24,STL,PIT,5,4,9
2020-07-24,SD,AZ,7,2,9
2020-07-24,HOU,SEA,8,2,10
2020-07-24,LAD,SF,9,1,10
2020-07-24,ATH,LAA,7,3,10
2020-07-25,CHC,MIL,3,8,11
2020-07-25,BOS,BAL,2,7,9
2020-07-25,CWS,MIN,10,3,13
2020-07-25,STL,PIT,9,1,10
2020-07-25,TB,TOR,4,1,5
2020-07-25,TEX,COL,2,3,5
2020-07-25,PHI,MIA,7,1,8
2020-07-25,ATH,LAA,1,4,5
2020-07-25,HOU,SEA,7,2,9
2020-07-25,LAD,SF,4,5,9
2020-07-25,NYM,ATL,3,5,8
2020-07-25,CIN,DET,4,6,10
2020-07-25,CLE,KC,2,3,5
2020-07-25,WSH,NYY,9,2,11
2020-07-25,SD,AZ,5,1,6
2020-07-26,PHI,MIA,6,11,17
2020-07-26,WSH,NYY,2,3,5
2020-07-26,CIN,DET,2,3,5
2020-07-26,CLE,KC,9,2,11
2020-07-26,TB,TOR,6,5,11
2020-07-26,BOS,BAL,4,7,11
2020-07-26,HOU,SEA,6,7,13
2020-07-26,CWS,MIN,2,14,16
2020-07-26,STL,PIT,1,5,6
2020-07-26,CHC,MIL,9,1,10
2020-07-26,TEX,COL,2,5,7
2020-07-26,ATH,LAA,6,4,10
2020-07-26,SD,AZ,3,4,7
2020-07-26,NYM,ATL,1,14,15
2020-07-26,LAD,SF,1,3,4
2020-07-27,ATH,LAA,3,0,3
2020-07-27,SD,AZ,6,2,8
2020-07-27,WSH,TOR,1,4,5
2020-07-27,CIN,CHC,7,8,15
2020-07-27,TB,ATL,14,5,19
2020-07-27,PIT,MIL,5,6,11
2020-07-27,DET,KC,6,14,20
2020-07-27,HOU,SEA,8,5,13
2020-07-27,BOS,NYM,4,7,11
2020-07-27,PHI,NYY,0,0,0
2020-07-27,CLE,CWS,0,0,0
2020-07-27,MIA,BAL,0,0,0
2020-07-28,CLE,CWS,4,3,7
2020-07-28,CLE,CWS,5,3,8
2020-07-28,WSH,TOR,1,5,6
2020-07-28,CIN,CHC,5,8,13
2020-07-28,TB,ATL,5,2,7
2020-07-28,PIT,MIL,8,6,14
2020-07-28,DET,KC,4,3,7
2020-07-28,BOS,NYM,3,8,11
2020-07-28,MIN,STL,6,3,9
2020-07-28,TEX,AZ,1,4,5
2020-07-28,HOU,LAD,2,5,7
2020-07-28,ATH,COL,3,8,11
2020-07-28,LAA,SEA,10,2,12
2020-07-28,SF,SD,3,5,8
2020-07-28,PHI,NYY,0,0,0
2020-07-28,MIA,BAL,0,0,0
2020-07-29,ATH,COL,1,5,6
2020-07-29,TEX,AZ,7,4,11
2020-07-29,TOR,WSH,0,4,4
2020-07-29,CLE,CWS,0,4,4
2020-07-29,CIN,CHC,12,7,19
2020-07-29,PIT,MIL,0,3,3
2020-07-29,DET,KC,5,4,9
2020-07-29,HOU,LAD,2,4,6
2020-07-29,NYM,BOS,5,6,11
2020-07-29,ATL,TB,7,4,11
2020-07-29,BAL,NYY,3,9,12
2020-07-29,MIN,STL,3,0,3
2020-07-29,SF,SD,7,6,13
2020-07-29,LAA,SEA,7,10,17
2020-07-29,NYY,PHI,0,0,0
2020-07-29,BAL,MIA,0,0,0
2020-07-30,TOR,WSH,4,6,10
2020-07-30,BAL,NYY,6,8,14
2020-07-30,NYM,BOS,2,4,6
2020-07-30,MIN,CLE,0,2,2
2020-07-30,DET,KC,3,5,8
2020-07-30,ATL,TB,2,1,3
2020-07-30,AZ,LAD,3,6,9
2020-07-30,LAA,SEA,5,8,13
2020-07-30,SF,SD,7,12,19
2020-07-30,CIN,CHC,0,0,0
2020-07-30,NYY,PHI,0,0,0
2020-07-30,BAL,MIA,0,0,0
2020-07-31,NYY,BOS,5,1,6
2020-07-31,DET,CIN,7,2,9
2020-07-31,ATL,NYM,11,10,21
2020-07-31,BAL,TB,6,3,9
2020-07-31,KC,CWS,2,3,5
2020-07-31,COL,SD,7,8,15
2020-07-31,MIN,CLE,4,1,5
2020-07-31,CHC,PIT,6,3,9
2020-07-31,LAA,HOU,6,9,15
2020-07-31,SF,TEX,9,2,11
2020-07-31,AZ,LAD,5,3,8
2020-07-31,SEA,ATH,5,3,8
2020-07-31,MIL,STL,0,0,0
2020-07-31,MIA,WSH,0,0,0
2020-08-01,KC,CWS,5,11,16
2020-08-01,LAA,HOU,5,4,9
2020-08-01,NYY,BOS,5,2,7
2020-08-01,MIN,CLE,3,0,3
2020-08-01,ATL,NYM,7,1,8
2020-08-01,BAL,TB,5,4,9
2020-08-01,AZ,LAD,2,11,13
2020-08-01,COL,SD,6,1,7
2020-08-01,CHC,PIT,4,3,7
2020-08-01,SEA,ATH,2,3,5
2020-08-01,SF,TEX,7,3,10
2020-08-01,DET,CIN,0,0,0
2020-08-01,TOR,PHI,0,0,0
2020-08-01,TOR,PHI,0,0,0
2020-08-01,MIA,WSH,0,0,0
2020-08-01,MIL,STL,0,0,0
2020-08-02,DET,CIN,3,4,7
2020-08-02,DET,CIN,0,4,4
2020-08-02,BAL,TB,5,1,6
2020-08-02,ATL,NYM,4,0,4
2020-08-02,KC,CWS,2,9,11
2020-08-02,MIN,CLE,3,1,4
2020-08-02,CHC,PIT,2,1,3
2020-08-02,COL,SD,9,6,15
2020-08-02,SF,TEX,5,9,14
2020-08-02,LAA,HOU,5,6,11
2020-08-02,AZ,LAD,0,3,3
2020-08-02,SEA,ATH,2,3,5
2020-08-02,NYY,BOS,9,7,16
2020-08-02,MIA,WSH,0,0,0
2020-08-02,MIL,STL,0,0,0
2020-08-02,MIL,STL,0,0,0
2020-08-02,TOR,PHI,0,0,0
2020-08-03,CIN,CLE,3,2,5
2020-08-03,NYY,PHI,6,3,9
2020-08-03,ATL,NYM,2,7,9
2020-08-03,MIN,PIT,5,4,9
2020-08-03,MIL,CWS,4,6,10
2020-08-03,CHC,KC,2,0,2
2020-08-03,COL,SF,7,6,13
2020-08-03,SD,LAD,5,4,9
2020-08-03,SEA,ATH,1,11,12
2020-08-04,MIN,PIT,7,3,10
2020-08-04,CIN,CLE,2,4,6
2020-08-04,TB,BOS,5,1,6
2020-08-04,WSH,NYM,5,3,8
2020-08-04,ATL,TOR,10,1,11
2020-08-04,BAL,MIA,0,4,4
2020-08-04,MIL,CWS,2,3,5
2020-08-04,CHC,KC,5,4,9
2020-08-04,COL,SF,5,2,7
2020-08-04,AZ,HOU,2,8,10
2020-08-04,SD,LAD,2,5,7
2020-08-04,ATH,TEX,5,1,6
2020-08-04,SEA,LAA,3,5,8
2020-08-04,DET,STL,0,0,0
2020-08-04,MIA,PHI,0,0,0
2020-08-05,NYY,PHI,7,11,18
2020-08-05,PHI,NYY,1,3,4
2020-08-05,BAL,MIA,0,1,1
2020-08-05,MIA,BAL,2,1,3
2020-08-05,WSH,NYM,1,3,4
2020-08-05,TB,BOS,0,5,5
2020-08-05,PIT,MIN,2,5,7
2020-08-05,CLE,CIN,2,0,2
2020-08-05,ATL,TOR,1,2,3
2020-08-05,KC,CHC,1,6,7
2020-08-05,CWS,MIL,0,1,1
2020-08-05,COL,SF,3,4,7
2020-08-05,AZ,HOU,14,7,21
2020-08-05,SD,LAD,6,7,13
2020-08-05,ATH,TEX,6,4,10
2020-08-05,SEA,LAA,7,6,13
2020-08-05,DET,STL,0,0,0
2020-08-05,STL,DET,0,0,0
2020-08-05,MIA,PHI,0,0,0
2020-08-05,BAL,NYY,0,0,0
2020-08-06,PIT,MIN,6,5,11
2020-08-06,COL,SF,6,4,10
2020-08-06,ATH,TEX,6,4,10
2020-08-06,SEA,LAA,1,6,7
2020-08-06,PHI,NYY,5,4,9
2020-08-06,CLE,CIN,13,0,13
2020-08-06,AZ,HOU,5,4,9
2020-08-06,KC,CHC,13,2,15
2020-08-06,ATL,TOR,4,3,7
2020-08-06,MIA,BAL,8,7,15
2020-08-06,CWS,MIL,3,8,11
2020-08-06,STL,DET,0,0,0
2020-08-06,MIA,PHI,0,0,0
2020-08-07,WSH,BAL,0,11,11
2020-08-07,TB,NYY,1,0,1
2020-08-07,PIT,DET,13,17,30
2020-08-07,NYM,MIA,3,4,7
2020-08-07,BOS,TOR,5,3,8
2020-08-07,KC,MIN,3,2,5
2020-08-07,CWS,CLE,2,0,2
2020-08-07,MIL,CIN,3,8,11
2020-08-07,TEX,LAA,4,3,7
2020-08-07,ATH,HOU,3,2,5
2020-08-07,SD,AZ,3,0,3
2020-08-07,SEA,COL,4,8,12
2020-08-07,LAD,SF,7,2,9
2020-08-07,PHI,ATL,0,0,0
2020-08-07,STL,CHC,0,0,0
2020-08-08,CWS,CLE,1,7,8
2020-08-08,TB,NYY,4,8,12
2020-08-08,TB,NYY,5,3,8
2020-08-08,PIT,DET,5,11,16
2020-08-08,ATH,HOU,3,1,4
2020-08-08,WSH,BAL,3,5,8
2020-08-08,PHI,ATL,5,0,5
2020-08-08,TEX,LAA,2,0,2
2020-08-08,KC,MIN,9,6,15
2020-08-08,NYM,MIA,8,4,12
2020-08-08,MIL,CIN,1,4,5
2020-08-08,BOS,TOR,1,2,3
2020-08-08,SD,AZ,2,3,5
2020-08-08,SEA,COL,0,5,5
2020-08-08,LAD,SF,4,5,9
2020-08-08,STL,CHC,0,0,0
2020-08-09,WSH,BAL,2,6,8
2020-08-09,PHI,ATL,2,5,7
2020-08-09,PHI,ATL,0,8,8
2020-08-09,NYM,MIA,4,2,6
2020-08-09,TB,NYY,4,3,7
2020-08-09,PIT,DET,1,2,3
2020-08-09,BOS,TOR,5,3,8
2020-08-09,KC,MIN,4,2,6
2020-08-09,MIL,CIN,9,3,12
2020-08-09,TEX,LAA,7,3,10
2020-08-09,ATH,HOU,7,2,9
2020-08-09,SD,AZ,9,5,14
2020-08-09,SEA,COL,5,3,8
2020-08-09,LAD,SF,6,2,8
2020-08-09,CWS,CLE,4,5,9
2020-08-09,STL,CHC,0,0,0
2020-08-10,PHI,ATL,13,8,21
2020-08-10,NYM,WSH,4,16,20
2020-08-10,DET,CWS,5,1,6
2020-08-10,BOS,TB,7,8,15
2020-08-10,MIL,MIN,2,4,6
2020-08-10,COL,AZ,8,12,20
2020-08-10,TEX,SEA,2,10,12
2020-08-10,HOU,SF,6,4,10
